iter	Passed	Remaining
855	5732	964
856	5739	957
857	5745	950
858	5752	944
859	5759	937
860	5766	930
861	5775	924
862	5781	917
863	5788	911
864	5795	904
865	5803	898
866	5809	891
867	5814	884
868	5821	877
869	5827	870
870	5832	863
871	5839	857
872	5845	850
873	5852	843
874	5862	837
875	5873	831
876	5878	824
877	5885	817
878	5892	811
879	5898	804
880	5904	797
881	5909	790
882	5915	783
883	5921	777
884	5927	770
885	5933	763
886	5939	756
887	5944	749
888	5951	743
889	5956	736
890	5962	729
891	5968	722
892	5974	715
893	5980	709
894	5987	702
895	5993	695
896	6001	689
897	6008	682
898	6020	676
899	6030	670
900	6036	663
901	6041	656
902	6048	649
903	6053	642
904	6059	636
905	6066	629
906	6072	622
907	6078	615
908	6084	609
909	6089	602
910	6096	595
911	6101	588
912	6106	581
913	6113	575
914	6119	568
915	6125	561
916	6131	554
917	6136	548
918	6143	541
919	6149	534
920	6154	527
921	6161	521
922	6166	514
923	6171	507
924	6180	501
925	6195	495
926	6201	488
927	6207	481
928	6214	474
929	6220	468
930	6227	461
931	6233	454
932	6238	448
933	6245	441
934	6250	434
935	6257	427
936	6263	421
937	6269	414
938	6275	407
939	6281	400
940	6286	394
941	6293	387
942	6299	380
943	6305	374
944	6312	367
945	6318	360
946	6325	353
947	6330	347
948	6337	340
949	6343	333
950	6348	327
951	6355	320
952	6360	313
953	6366	306
954	6373	300
955	6378	293
956	6384	286
957	6390	280
958	6396	273
959	6415	267
960	6423	260
961	6428	253
962	6435	247
963	6441	240
964	6446	233
965	6453	227
966	6458	220
967	6464	213
968	6471	207
969	6476	200
970	6482	193
971	6488	186
972	6493	180
973	6500	173
974	6506	166
975	6512	160
976	6519	153
977	6526	146
978	6532	140
979	6538	133
980	6544	126
981	6551	120
982	6556	113
983	6562	106
984	6568	100
985	6574	93
986	6580	86
987	6585	79
988	6591	73
989	6598	66
990	6608	60
991	6621	53
992	6628	46
993	6634	40
994	6639	33
995	6646	26
996	6651	20
997	6656	13
998	6663	6
999	6669	0
